state,TotalCarrierDelay,TotalWeatherDelay,TotalNASDelay,TotalSecurityDelay,TotalLateAircraftDelay,WeatherDelayPercent
PA,2083974,369452,2939399,9645,3303743,4.24
TX,7063341,2505594,7286430,73050,10190595,9.24
NM,226208,31546,180580,1244,473356,3.46
GA,6772628,1882456,4748461,16371,6113325,9.64
MA,1137773,425436,2021003,9731,1900089,7.74
CA,7486094,497898,5278554,82060,10081812,2.13
NJ,1882582,356513,2812450,29327,3924012,3.96
AK,477932,43518,206723,18570,910699,2.63
LA,566676,148535,800309,4023,881983,6.19
NY,3616603,1253686,6171781,31276,5505354,7.56
IA,246019,52609,339368,635,349844,5.32
FL,3798835,855105,6120644,28010,6214028,5.03
CO,2738897,538134,2019129,14586,3854753,5.87
WI,502480,114916,839340,1582,647412,5.46
NC,2182357,341297,3048630,7814,2623417,4.16
MI,2866126,544448,2724672,11773,1594665,7.03
CT,234852,63137,483735,3636,365737,5.48
ME,181540,62090,288483,1175,122340,9.47
AL,397994,137145,502719,2886,469035,9.08
MT,196505,46066,88662,2648,189406,8.8
ND,93604,20117,94101,465,86280,6.83
MN,2149016,401575,1959429,2577,1093081,7.16
WA,1776040,70915,973643,19162,1410036,1.67
IL,6039109,1245047,5639917,15424,10895479,5.22
TN,1369417,267148,1512964,4786,1579269,5.64
ID,170353,40416,127629,1413,242737,6.94
VT,94555,21842,185802,1358,96190,5.46
MD,853046,171702,898443,10560,1563246,4.91
SC,508028,121989,726905,2806,535544,6.44
OH,1217458,273001,2194320,4032,1688527,5.08
UT,1798572,184822,712396,8909,932346,5.08
VA,492308,120922,909006,2973,634154,5.6
WV,67333,23316,72912,253,24047,12.41
WY,87208,26445,38420,1078,90258,10.86
KY,1866737,499477,1865177,18300,822112,9.85
DC,2161028,432785,2662228,17511,2693824,5.43
NV,1851294,115773,1444687,22322,3284498,1.72
OR,633649,36483,457379,5589,753091,1.93
IN,447588,117395,769378,1541,631641,5.97
AZ,2562054,158639,1430628,23410,2219733,2.48
SD,94877,28493,114933,1596,115250,8.02
AR,326340,80684,413027,1406,521612,6.01
MS,203272,55581,251958,1537,285182,6.97
HI,593699,10402,174107,3272,523330,0.8
KS,118939,28173,206395,27,145734,5.64
DE,5399,1557,6213,104,1156,10.79
OK,341193,101985,391430,3028,627339,6.96
NE,245056,55811,342539,758,342259,5.66
MO,932752,181902,1349338,4292,1768608,4.29
NH,165940,49112,315997,1223,263209,6.17
RI,147489,58223,401677,1416,337159,6.15
